Build,Start Date,Start Time,End Date,End Time
1143,2017-06-19,07:08:50 AM,2017-06-19,07:15:13 AM
1144,2017-06-19,01:46:46 PM,2017-06-19,01:53:13 PM
1145,2017-06-19,02:14:15 PM,2017-06-19,02:21:12 PM
1147,2017-06-19,04:32:55 PM,2017-06-19,04:38:47 PM
1148,2017-06-19,04:40:31 PM,2017-06-19,04:46:59 PM
1150,2017-06-19,07:34:45 PM,2017-06-19,07:41:16 PM
1151,2017-06-20,09:32:54 AM,2017-06-20,09:38:33 AM
1153,2017-06-20,05:49:27 PM,2017-06-20,05:55:12 PM
1154,2017-06-20,06:13:14 PM,2017-06-20,06:19:23 PM
1155,2017-06-20,07:13:47 PM,2017-06-20,07:19:30 PM
1156,2017-06-20,08:38:47 PM,2017-06-20,08:44:36 PM
1157,2017-06-20,08:53:01 PM,2017-06-20,08:59:17 PM
1158,2017-06-21,01:47:41 PM,2017-06-21,01:55:12 PM
1159,2017-06-21,02:43:47 PM,2017-06-21,02:49:59 PM
1162,2017-06-21,08:03:43 PM,2017-06-21,08:09:34 PM
1164,2017-06-22,03:52:12 AM,2017-06-22,03:59:16 AM
1165,2017-06-22,04:25:02 AM,2017-06-22,04:31:39 AM
1167,2017-06-22,12:14:11 PM,2017-06-22,12:23:40 PM
1168,2017-06-22,01:02:27 PM,2017-06-22,01:09:24 PM
1169,2017-06-22,01:37:40 PM,2017-06-22,01:44:10 PM
1171,2017-06-22,01:54:02 PM,2017-06-22,02:00:06 PM
1173,2017-06-22,03:40:29 PM,2017-06-22,03:46:14 PM
1174,2017-06-22,06:00:45 PM,2017-06-22,06:06:51 PM
1175,2017-06-22,06:47:01 PM,2017-06-22,06:54:13 PM
1176,2017-06-22,07:50:26 PM,2017-06-22,07:56:19 PM
1177,2017-06-22,10:28:41 PM,2017-06-22,10:34:28 PM
1178,2017-06-23,05:37:00 PM,2017-06-23,05:43:54 PM
1182,2017-06-23,07:16:35 PM,2017-06-23,07:23:07 PM
1186,2017-06-23,09:09:26 PM,2017-06-23,09:16:23 PM
1187,2017-06-23,09:24:32 PM,2017-06-23,09:31:58 PM
1188,2017-06-23,09:45:55 PM,2017-06-23,09:54:26 PM
1190,2017-06-24,09:25:56 PM,2017-06-24,09:32:45 PM
1194,2017-06-25,10:10:05 PM,2017-06-25,10:16:14 PM
1195,2017-06-26,10:22:19 AM,2017-06-26,10:28:59 AM
1196,2017-06-26,10:57:32 AM,2017-06-26,11:04:53 AM
1197,2017-06-26,11:20:54 AM,2017-06-26,11:27:14 AM
1198,2017-06-26,05:34:00 PM,2017-06-26,05:41:49 PM
1199,2017-06-26,06:11:57 PM,2017-06-26,06:19:24 PM
1208,2017-06-27,03:52:19 PM,2017-06-27,04:01:56 PM
1211,2017-06-28,08:35:39 PM,2017-06-28,08:42:28 PM
1214,2017-06-29,05:57:07 PM,2017-06-29,06:03:21 PM
1215,2017-06-29,06:58:17 PM,2017-06-29,07:10:30 PM
1216,2017-06-29,07:11:16 PM,2017-06-29,07:17:13 PM
1217,2017-06-29,07:14:51 PM,2017-06-29,07:20:39 PM
1218,2017-06-30,06:12:48 PM,2017-06-30,06:22:12 PM
1219,2017-06-30,06:27:53 PM,2017-06-30,06:42:18 PM
1220,2017-06-30,06:08:13 PM,2017-06-30,06:14:17 PM
1221,2017-07-06,06:28:19 PM,2017-07-06,06:34:22 PM
1222,2017-07-06,07:27:27 PM,2017-07-06,07:34:02 PM
1223,2017-07-06,09:12:35 PM,2017-07-06,09:18:31 PM
1224,2017-07-07,03:56:07 AM,2017-07-07,04:02:50 AM
1225,2017-07-07,04:01:38 AM,2017-07-07,04:08:15 AM
1229,2017-07-07,05:05:33 PM,2017-07-07,05:15:18 PM
1230,2017-07-07,05:30:25 PM,2017-07-07,05:38:19 PM
1232,2017-07-10,03:48:20 PM,2017-07-10,03:55:15 PM
1233,2017-07-10,05:26:53 PM,2017-07-10,05:32:25 PM
1234,2017-07-10,09:54:38 PM,2017-07-10,09:58:36 PM
1237,2017-07-11,03:58:19 AM,2017-07-11,04:05:07 AM
1238,2017-07-11,03:02:56 PM,2017-07-11,03:11:16 PM
1239,2017-07-11,03:04:06 PM,2017-07-11,03:11:41 PM
1240,2017-07-11,04:55:41 PM,2017-07-11,05:02:10 PM
1241,2017-07-11,05:05:01 PM,2017-07-11,05:08:51 PM
1242,2017-07-11,05:19:36 PM,2017-07-11,05:29:02 PM
1243,2017-07-11,09:03:52 PM,2017-07-11,09:13:12 PM
1244,2017-07-11,09:32:13 PM,2017-07-11,09:38:26 PM
1247,2017-07-11,10:06:11 PM,2017-07-11,10:12:43 PM
1251,2017-07-12,04:17:16 PM,2017-07-12,04:31:02 PM
1252,2017-07-12,04:59:30 PM,2017-07-12,05:08:19 PM
1253,2017-07-12,05:48:05 PM,2017-07-12,05:53:16 PM
1254,2017-07-12,05:47:52 PM,2017-07-12,05:53:03 PM
1255,2017-07-12,09:16:51 PM,2017-07-12,09:22:04 PM
1263,2017-07-14,01:02:26 AM,2017-07-14,01:09:51 AM
1266,2017-07-14,01:36:31 AM,2017-07-14,01:43:56 AM
1268,2017-07-14,03:02:17 AM,2017-07-14,03:10:29 AM
1270,2017-07-14,03:23:08 AM,2017-07-14,03:29:41 AM
1272,2017-07-14,04:10:26 AM,2017-07-14,04:17:00 AM
1273,2017-07-14,05:01:55 AM,2017-07-14,05:08:44 AM
1274,2017-07-14,10:42:33 AM,2017-07-14,10:51:04 AM
1275,2017-07-14,10:34:30 AM,2017-07-14,10:42:02 AM
1277,2017-07-14,12:09:54 PM,2017-07-14,12:16:52 PM
1278,2017-07-14,01:19:32 PM,2017-07-14,01:25:17 PM
1280,2017-07-14,02:08:50 PM,2017-07-14,02:16:54 PM
1281,2017-07-14,02:14:54 PM,2017-07-14,02:21:54 PM
1284,2017-07-14,07:31:25 PM,2017-07-14,07:38:09 PM
1286,2017-07-14,08:02:04 PM,2017-07-14,08:07:21 PM
1287,2017-07-14,07:58:58 PM,2017-07-14,08:03:16 PM
1289,2017-07-17,03:35:26 AM,2017-07-17,03:42:06 AM
1290,2017-07-17,03:43:26 PM,2017-07-17,03:53:49 PM
1291,2017-07-17,06:16:10 PM,2017-07-17,06:20:36 PM
1292,2017-07-18,01:12:15 AM,2017-07-18,01:18:48 AM
1294,2017-07-18,07:47:50 PM,2017-07-18,07:53:26 PM
1295,2017-07-18,08:15:42 PM,2017-07-18,08:23:35 PM
1296,2017-07-19,04:13:53 PM,2017-07-19,04:24:03 PM
1297,2017-07-19,04:10:33 PM,2017-07-19,04:17:19 PM
1298,2017-07-19,04:12:39 PM,2017-07-19,04:22:09 PM
1299,2017-07-19,04:24:46 PM,2017-07-19,04:40:25 PM
1300,2017-07-19,04:14:41 PM,2017-07-19,04:28:25 PM
1301,2017-07-19,04:13:36 PM,2017-07-19,04:27:39 PM
1302,2017-07-19,04:15:39 PM,2017-07-19,04:30:59 PM
1303,2017-07-19,04:25:24 PM,2017-07-19,04:47:08 PM
1306,2017-07-19,08:16:18 PM,2017-07-19,08:24:06 PM
1340,2017-07-23,09:05:23 AM,2017-07-23,09:13:09 AM
1341,2017-07-23,10:01:14 AM,2017-07-23,10:08:50 AM
1342,2017-07-23,10:59:54 AM,2017-07-23,11:07:41 AM
1344,2017-07-23,11:42:06 AM,2017-07-23,11:48:41 AM
1345,2017-07-23,11:41:11 AM,2017-07-23,11:47:33 AM
1346,2017-07-23,12:06:45 PM,2017-07-23,12:13:56 PM
1347,2017-07-23,01:37:38 PM,2017-07-23,01:45:32 PM
1349,2017-07-23,01:56:13 PM,2017-07-23,02:02:27 PM
1354,2017-07-24,02:11:01 PM,2017-07-24,02:19:30 PM
1356,2017-07-24,02:33:05 PM,2017-07-24,02:39:56 PM
1357,2017-07-24,02:33:45 PM,2017-07-24,02:40:27 PM
1358,2017-07-24,02:39:10 PM,2017-07-24,02:46:03 PM
1359,2017-07-24,02:39:17 PM,2017-07-24,02:46:35 PM
1362,2017-07-24,03:21:08 PM,2017-07-24,03:28:00 PM
1367,2017-07-24,04:16:56 PM,2017-07-24,04:24:57 PM
1368,2017-07-24,04:17:53 PM,2017-07-24,04:24:47 PM
1372,2017-07-24,04:29:51 PM,2017-07-24,04:36:56 PM
1374,2017-07-24,04:41:37 PM,2017-07-24,04:48:41 PM
1376,2017-07-24,04:46:19 PM,2017-07-24,04:53:29 PM
1377,2017-07-24,05:20:57 PM,2017-07-24,05:29:21 PM
1379,2017-07-24,06:32:52 PM,2017-07-24,06:42:52 PM
1381,2017-07-24,06:56:09 PM,2017-07-24,07:04:07 PM
1382,2017-07-24,06:56:53 PM,2017-07-24,07:04:09 PM
1383,2017-07-24,06:54:44 PM,2017-07-24,07:04:14 PM
1385,2017-07-24,07:24:14 PM,2017-07-24,07:35:17 PM
1386,2017-07-24,07:37:19 PM,2017-07-24,07:52:12 PM
1393,2017-07-24,09:19:03 PM,2017-07-24,09:27:29 PM
1394,2017-07-24,09:18:54 PM,2017-07-24,09:26:00 PM
1395,2017-07-24,09:21:56 PM,2017-07-24,09:28:26 PM
1396,2017-07-25,11:51:17 AM,2017-07-25,11:58:28 AM
1400,2017-07-25,02:54:22 PM,2017-07-25,03:02:12 PM
1401,2017-07-25,02:51:13 PM,2017-07-25,03:00:14 PM
1402,2017-07-25,03:11:56 PM,2017-07-25,03:19:50 PM
1410,2017-07-25,07:16:49 PM,2017-07-25,07:23:42 PM
1411,2017-07-25,07:20:56 PM,2017-07-25,07:28:18 PM
1412,2017-07-25,07:45:59 PM,2017-07-25,07:53:19 PM
1413,2017-07-25,10:30:14 PM,2017-07-25,10:37:24 PM
1414,2017-07-25,10:28:32 PM,2017-07-25,10:35:58 PM
1415,2017-07-26,01:53:46 AM,2017-07-26,02:00:53 AM
1416,2017-07-26,04:20:10 PM,2017-07-26,04:27:48 PM
1417,2017-07-26,05:20:56 PM,2017-07-26,05:28:11 PM
1419,2017-07-26,07:46:24 PM,2017-07-26,07:56:27 PM
1420,2017-07-26,08:15:39 PM,2017-07-26,08:22:44 PM
1421,2017-07-26,08:18:37 PM,2017-07-26,08:26:18 PM
1423,2017-07-26,08:47:31 PM,2017-07-26,08:54:07 PM
1424,2017-07-26,08:57:36 PM,2017-07-26,09:04:28 PM
1425,2017-07-26,10:11:09 PM,2017-07-26,10:18:02 PM
1427,2017-07-26,10:11:49 PM,2017-07-26,10:18:09 PM
1428,2017-07-26,10:16:49 PM,2017-07-26,10:23:41 PM
1429,2017-07-26,11:47:47 PM,2017-07-26,11:54:54 PM
1430,2017-07-27,05:59:37 AM,2017-07-27,06:06:18 AM
1433,2017-07-27,04:34:07 PM,2017-07-27,04:40:57 PM
1434,2017-07-27,04:38:28 PM,2017-07-27,04:51:24 PM
1435,2017-07-27,04:36:38 PM,2017-07-27,04:44:32 PM
1437,2017-07-27,04:49:07 PM,2017-07-27,05:11:54 PM
1438,2017-07-27,04:56:37 PM,2017-07-27,05:16:34 PM
1439,2017-07-27,04:49:11 PM,2017-07-27,05:01:53 PM
1440,2017-07-27,04:36:21 PM,2017-07-27,04:42:51 PM
1442,2017-07-27,05:45:29 PM,2017-07-27,05:53:32 PM
1443,2017-07-27,07:50:55 PM,2017-07-27,08:05:03 PM
1444,2017-07-27,07:59:01 PM,2017-07-27,08:11:31 PM
1445,2017-07-27,11:22:23 PM,2017-07-27,11:33:33 PM
1446,2017-07-28,06:50:09 AM,2017-07-28,07:02:18 AM
1447,2017-07-28,03:33:23 PM,2017-07-28,03:53:08 PM
1448,2017-07-28,03:29:51 PM,2017-07-28,03:39:05 PM
1449,2017-07-28,03:56:55 PM,2017-07-28,04:08:29 PM
1450,2017-07-28,03:38:04 PM,2017-07-28,03:47:09 PM
1464,2017-07-28,05:13:29 PM,2017-07-28,05:21:01 PM
1466,2017-07-28,07:58:36 PM,2017-07-28,08:39:22 PM
1467,2017-07-28,07:34:20 PM,2017-07-28,08:00:04 PM
1469,2017-07-28,07:33:58 PM,2017-07-28,08:00:04 PM
1470,2017-07-28,07:36:11 PM,2017-07-28,08:01:31 PM
1472,2017-07-28,07:53:01 PM,2017-07-28,08:17:48 PM
1473,2017-07-28,07:40:58 PM,2017-07-28,07:48:22 PM
1474,2017-07-28,08:48:58 PM,2017-07-28,09:14:37 PM
1475,2017-07-28,08:50:21 PM,2017-07-28,09:08:48 PM
1477,2017-07-28,08:52:06 PM,2017-07-28,09:03:16 PM
1478,2017-07-28,08:37:23 PM,2017-07-28,08:44:45 PM
1480,2017-07-28,10:39:48 PM,2017-07-28,10:50:34 PM
1484,2017-07-30,06:13:33 PM,2017-07-30,06:29:44 PM
1485,2017-07-30,06:14:41 PM,2017-07-30,06:31:02 PM
1492,2017-07-31,04:51:06 PM,2017-07-31,05:07:05 PM
1494,2017-07-31,04:37:52 PM,2017-07-31,04:44:35 PM
1495,2017-07-31,06:19:15 PM,2017-07-31,06:36:47 PM
1498,2017-07-31,07:59:42 PM,2017-07-31,07:59:42 PM
1500,2017-07-31,07:55:35 PM,2017-07-31,08:02:13 PM
1501,2017-07-31,08:18:47 PM,2017-07-31,08:37:31 PM
1505,2017-07-31,08:16:27 PM,2017-07-31,08:40:24 PM
1506,2017-07-31,08:24:20 PM,2017-07-31,08:49:32 PM
1507,2017-07-31,08:08:59 PM,2017-07-31,08:19:18 PM
1508,2017-07-31,08:11:36 PM,2017-07-31,08:23:16 PM
1509,2017-07-31,08:25:14 PM,2017-07-31,08:50:07 PM
1512,2017-08-01,12:34:16 AM,2017-08-01,12:43:25 AM
1513,2017-08-01,12:36:02 AM,2017-08-01,12:45:04 AM
1514,2017-08-01,12:36:02 AM,2017-08-01,12:45:18 AM
1515,2017-08-01,12:36:54 AM,2017-08-01,12:46:14 AM
1516,2017-08-01,12:36:14 AM,2017-08-01,12:43:08 AM
1517,2017-08-01,12:35:51 AM,2017-08-01,12:44:47 AM
1518,2017-08-01,12:36:13 AM,2017-08-01,12:45:51 AM
1520,2017-08-01,12:36:20 AM,2017-08-01,12:43:12 AM
1521,2017-08-01,01:54:21 AM,2017-08-01,02:03:27 AM
1523,2017-08-01,07:10:50 PM,2017-08-01,07:20:02 PM
1524,2017-08-04,02:24:46 PM,2017-08-04,02:32:18 PM
1525,2017-08-05,03:46:59 PM,2017-08-05,03:55:27 PM
1526,2017-08-07,05:44:06 PM,2017-08-07,05:51:03 PM
1527,2017-08-07,08:43:09 PM,2017-08-07,08:50:53 PM
1528,2017-08-07,09:33:30 PM,2017-08-07,09:42:33 PM
1529,2017-08-07,10:10:21 PM,2017-08-07,10:17:41 PM
1530,2017-08-07,10:11:13 PM,2017-08-07,10:18:40 PM
1531,2017-08-08,03:56:52 PM,2017-08-08,04:05:07 PM
1532,2017-08-08,03:54:41 PM,2017-08-08,03:56:52 PM
1533,2017-08-08,03:59:36 PM,2017-08-08,03:59:45 PM
1534,2017-08-08,04:18:03 PM,2017-08-08,04:33:04 PM
1535,2017-08-08,04:16:18 PM,2017-08-08,04:26:43 PM
1536,2017-08-08,04:26:15 PM,2017-08-08,04:37:47 PM
1538,2017-08-08,06:39:45 PM,2017-08-08,06:46:08 PM
1539,2017-08-08,07:11:00 PM,2017-08-08,07:18:24 PM
1540,2017-08-08,10:04:40 PM,2017-08-08,10:12:06 PM
1541,2017-08-08,10:18:44 PM,2017-08-08,10:26:04 PM
1542,2017-08-08,10:31:53 PM,2017-08-08,10:40:21 PM
1543,2017-08-09,02:31:14 PM,2017-08-09,02:38:37 PM
1544,2017-08-09,07:46:28 PM,2017-08-09,07:53:47 PM
1545,2017-08-09,08:17:24 PM,2017-08-09,08:25:10 PM
1546,2017-08-09,09:21:33 PM,2017-08-09,09:38:18 PM
1547,2017-08-09,09:22:58 PM,2017-08-09,09:37:41 PM
1548,2017-08-09,09:21:37 PM,2017-08-09,09:40:16 PM
1549,2017-08-09,09:28:52 PM,2017-08-09,09:52:37 PM
1550,2017-08-10,02:49:42 PM,2017-08-10,02:57:06 PM
1553,2017-08-10,10:26:54 PM,2017-08-10,10:33:16 PM
1554,2017-08-11,01:59:58 PM,2017-08-11,02:07:42 PM
1555,2017-08-11,04:31:32 PM,2017-08-11,04:39:49 PM
1558,2017-08-11,05:38:08 PM,2017-08-11,05:47:11 PM
1562,2017-08-11,06:04:38 PM,2017-08-11,06:12:18 PM
1563,2017-08-11,06:48:11 PM,2017-08-11,06:57:22 PM
1564,2017-08-11,07:29:51 PM,2017-08-11,07:37:59 PM
1565,2017-08-11,07:29:36 PM,2017-08-11,07:36:59 PM
1566,2017-08-11,07:34:24 PM,2017-08-11,07:43:01 PM
1567,2017-08-11,07:38:00 PM,2017-08-11,07:46:14 PM
1568,2017-08-11,07:58:06 PM,2017-08-11,08:05:28 PM
1569,2017-08-11,09:09:42 PM,2017-08-11,09:18:32 PM
1570,2017-08-12,10:55:48 AM,2017-08-12,11:04:50 AM
1571,2017-08-14,02:10:02 PM,2017-08-14,02:17:14 PM
1573,2017-08-14,04:05:38 PM,2017-08-14,04:13:16 PM
1574,2017-08-14,04:19:26 PM,2017-08-14,04:28:18 PM
1575,2017-08-14,04:57:23 PM,2017-08-14,05:09:40 PM
1577,2017-08-14,05:13:39 PM,2017-08-14,05:22:43 PM
1579,2017-08-14,08:49:15 PM,2017-08-14,08:57:50 PM
1580,2017-08-14,09:15:00 PM,2017-08-14,09:24:22 PM
1581,2017-08-14,09:22:58 PM,2017-08-14,09:34:02 PM
1582,2017-08-15,01:41:06 AM,2017-08-15,01:49:49 AM
1583,2017-08-15,07:00:52 AM,2017-08-15,07:12:59 AM
1584,2017-08-15,11:30:56 AM,2017-08-15,11:47:35 AM
1585,2017-08-15,11:28:36 AM,2017-08-15,11:39:14 AM
1586,2017-08-15,01:02:52 PM,2017-08-15,01:19:14 PM
1587,2017-08-15,01:49:16 PM,2017-08-15,02:00:08 PM
1588,2017-08-15,03:07:51 PM,2017-08-15,03:35:08 PM
1589,2017-08-15,03:41:46 PM,2017-08-15,03:51:33 PM
1590,2017-08-15,04:55:05 PM,2017-08-15,05:05:02 PM
1592,2017-08-15,05:33:17 PM,2017-08-15,05:42:59 PM
1593,2017-08-15,05:32:23 PM,2017-08-15,05:42:15 PM
1594,2017-08-15,05:35:13 PM,2017-08-15,05:43:13 PM
1595,2017-08-15,06:41:35 PM,2017-08-15,06:50:41 PM
1597,2017-08-15,07:27:45 PM,2017-08-15,07:37:08 PM
1598,2017-08-15,07:31:58 PM,2017-08-15,07:45:24 PM
1599,2017-08-15,07:30:54 PM,2017-08-15,07:41:40 PM
1600,2017-08-15,07:37:25 PM,2017-08-15,07:51:46 PM
1602,2017-08-15,07:44:13 PM,2017-08-15,07:53:24 PM
1603,2017-08-15,07:57:37 PM,2017-08-15,08:07:50 PM
